工作表,行,列,原始地址(HMI),Modbus地址(0-based),FUXA地址(1-based),标签名,类型,字数,比例,单位,HMI显示,只读,控件类型,枚举选项,段索引,段数寄存器,保存历史,范围
D0,29,17,D0274,4x0274,4X275,保压5时间1,ushort,1字,0.1,,射出,false,,,5,299,是,
D0,30,17,D0275,4x0275,4X276,保压6压力1,ushort,1字,0.1,,射出,false,,,6,299,是,
D0,31,17,D0276,4x0276,4X277,保压6流量1,ushort,1字,0.1,,射出,false,,,6,299,是,
D0,32,17,D0277,4x0277,4X278,保压6位置1,int,2字,0.01,,射出,false,,,6,299,是,0~D272
D0,34,17,D0279,4x0279,4X280,保压6时间1,ushort,1字,0.1,,射出,false,,,6,299,是,
D0,35,17,D0280,4x0280,4X281,保压7压力1,ushort,1字,0.1,,射出,false,,,7,299,是,
D0,36,17,D0281,4x0281,4X282,保压7流量1,ushort,1字,0.1,,射出,false,,,7,299,是,
D0,37,17,D0282,4x0282,4X283,保压7位置1,int,2字,0.01,,射出,false,,,7,299,是,0~D277
D0,39,17,D0284,4x0284,4X285,保压7时间1,ushort,1字,0.1,,射出,false,,,7,299,是,
D0,40,17,D0285,4x0285,4X286,保压8压力1,ushort,1字,0.1,,射出,false,,,8,299,是,
D0,41,17,D0286,4x0286,4X287,保压8流量1,ushort,1字,0.1,,射出,false,,,8,299,是,
D0,42,17,D0287,4x0287,4X288,保压8位置1,int,2字,0.01,,射出,false,,,8,299,是,0~D282
D0,44,17,D0289,4x0289,4X290,保压8时间1,ushort,1字,0.1,,射出,false,,,8,299,是,
D0,45,17,D0290,4x0290,4X291,功能射出总时,ushort,1字,1,s,射出,false,,,0,-1,是,
D0,46,17,D0291,4x0291,4X292,功能射出方式,ushort,1字,1,,射出,false,动态文本,"位置,时间",0,-1,是,
D0,47,17,D0292,4x0292,4X293,功能转保压方式,ushort,1字,1,,射出,false,动态文本,"位置,时间,压力",0,-1,是,
D0,48,17,D0293,4x0293,4X294,功能转保压压力,ushort,1字,0.1,MPa,射出,false,,,0,-1,是,
D0,49,17,D0294,4x0294,4X295,功能转保压位置,int,2字,0.01,mm,射出,false,,,0,-1,是,
D0,51,17,D0296,4x0296,4X297,功能转保压时间,ushort,1字,0.1,s,射出,false,,,0,-1,是,
D0,52,17,D0297,4x0297,4X298,位置1功能,ushort,1字,0.01,,射出,false,,,0,-1,是,
D0,53,17,D0298,4x0298,4X299,射出段数,ushort,1字,1,,射出,false,,,0,-1,是,
D0,54,17,D0299,4x0299,4X300,保压段数,ushort,1字,1,,射出,false,,,0,-1,是,
D0,5,20,D0300,4x0300,4X301,储料1压力1,ushort,1字,0.1,,储料,false,,,1,398,是,
D0,6,20,D0301,4x0301,4X302,储料1流量1,ushort,1字,0.1,,储料,false,,,1,398,是,
D0,7,20,D0302,4x0302,4X303,储料1位置1,int,2字,0.01,,储料,false,,,1,398,是,0~300
D0,9,20,D0304,4x0304,4X305,储料1时间1,ushort,1字,0.1,,储料,false,,,1,398,是,
D0,10,20,D0305,4x0305,4X306,储料2压力1,ushort,1字,0.1,,储料,false,,,2,398,是,
D0,11,20,D0306,4x0306,4X307,储料2流量1,ushort,1字,0.1,,储料,false,,,2,398,是,
D0,12,20,D0307,4x0307,4X308,储料2位置1,int,2字,0.01,,储料,false,,,2,398,是,D302~300
D0,14,20,D0309,4x0309,4X310,储料2时间1,ushort,1字,0.1,,储料,false,,,2,398,是,
D0,15,20,D0310,4x0310,4X311,储料3压力1,ushort,1字,0.1,,储料,false,,,3,398,是,
D0,16,20,D0311,4x0311,4X312,储料3流量1,ushort,1字,0.1,,储料,false,,,3,398,是,
D0,17,20,D0312,4x0312,4X313,储料3位置1,int,2字,0.01,,储料,false,,,3,398,是,D307~300
D0,19,20,D0314,4x0314,4X315,储料3时间1,ushort,1字,0.1,,储料,false,,,3,398,是,
D0,20,20,D0315,4x0315,4X316,储料4压力1,ushort,1字,0.1,,储料,false,,,4,398,是,
D0,21,20,D0316,4x0316,4X317,储料4流量1,ushort,1字,0.1,,储料,false,,,4,398,是,
D0,22,20,D0317,4x0317,4X318,储料4位置1,int,2字,0.01,,储料,false,,,4,398,是,D312~300
D0,24,20,D0319,4x0319,4X320,储料4时间1,ushort,1字,0.1,,储料,false,,,4,398,是,
D0,25,20,D0320,4x0320,4X321,储料5压力1,ushort,1字,0.1,,储料,false,,,5,398,是,
D0,26,20,D0321,4x0321,4X322,储料5流量1,ushort,1字,0.1,,储料,false,,,5,398,是,
D0,27,20,D0322,4x0322,4X323,储料5位置1,int,2字,0.01,,储料,false,,,5,398,是,D317~300
D0,29,20,D0324,4x0324,4X325,储料5时间1,ushort,1字,0.1,,储料,false,,,5,398,是,
D0,30,20,D0325,4x0325,4X326,储料6压力1,ushort,1字,0.1,,储料,false,,,6,398,是,
D0,31,20,D0326,4x0326,4X327,储料6流量1,ushort,1字,0.1,,储料,false,,,6,398,是,
D0,32,20,D0327,4x0327,4X328,储料6位置1,int,2字,0.01,,储料,false,,,6,398,是,D322~300
D0,34,20,D0329,4x0329,4X330,储料6时间1,ushort,1字,0.1,,储料,false,,,6,398,是,
D0,35,20,D0330,4x0330,4X331,储料7压力1,ushort,1字,0.1,,储料,false,,,7,398,是,
D0,36,20,D0331,4x0331,4X332,储料7流量1,ushort,1字,0.1,,储料,false,,,7,398,是,
D0,37,20,D0332,4x0332,4X333,储料7位置1,int,2字,0.01,,储料,false,,,7,398,是,D327~300
D0,39,20,D0334,4x0334,4X335,储料7时间1,ushort,1字,0.1,,储料,false,,,7,398,是,
D0,40,20,D0335,4x0335,4X336,储料8压力1,ushort,1字,0.1,,储料,false,,,8,398,是,
D0,41,20,D0336,4x0336,4X337,储料8流量1,ushort,1字,0.1,,储料,false,,,8,398,是,
D0,42,20,D0337,4x0337,4X338,储料8位置1,int,2字,0.01,,储料,false,,,8,398,是,D332~300
D0,44,20,D0339,4x0339,4X340,储料8时间1,ushort,1字,0.1,,储料,false,,,8,398,是,
D0,45,20,D0340,4x0340,4X341,储料1背压,ushort,1字,1,,储料,false,,,1,398,是,
D0,46,20,D0341,4x0341,4X342,储料2背压,ushort,1字,1,,储料,false,,,2,398,是,
D0,47,20,D0342,4x0342,4X343,储料3背压,ushort,1字,1,,储料,false,,,3,398,是,
D0,48,20,D0343,4x0343,4X344,储料4背压,ushort,1字,1,,储料,false,,,4,398,是,
D0,49,20,D0344,4x0344,4X345,储料5背压,ushort,1字,1,,储料,false,,,5,398,是,
D0,50,20,D0345,4x0345,4X346,储料6背压,ushort,1字,1,,储料,false,,,6,398,是,
D0,51,20,D0346,4x0346,4X347,储料7背压,ushort,1字,1,,储料,false,,,7,398,是,
D0,52,20,D0347,4x0347,4X348,储料8背压,ushort,1字,1,,储料,false,,,8,398,是,
D0,5,23,D0350,4x0350,4X351,清料射退压力1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0,6,23,D0351,4x0351,4X352,清料射退流量1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0,7,23,D0352,4x0352,4X353,清料射退位置1,int,2字,0.01,,储料,false,,,0,-1,是,
D0,9,23,D0354,4x0354,4X355,清料射退时间1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0,10,23,D0355,4x0355,4X356,清料压力1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0,11,23,D0356,4x0356,4X357,清料流量1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0,12,23,D0357,4x0357,4X358,清料位置1,int,2字,0.01,,储料,false,,,0,-1,是,
D0,14,23,D0359,4x0359,4X360,清料时间1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0,15,23,D0360,4x0360,4X361,清料射出压力1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0,16,23,D0361,4x0361,4X362,清料射出流量1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0,17,23,D0362,4x0362,4X363,清料射出位置1,int,2字,0.01,,储料,false,,,0,-1,是,
D0,19,23,D0364,4x0364,4X365,清料射出时间1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0,20,23,D0365,4x0365,4X366,前射退压力1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0,21,23,D0366,4x0366,4X367,前射退流量1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0,22,23,D0367,4x0367,4X368,前射退位置1,int,2字,0.01,,储料,false,,,0,-1,是,
D0,24,23,D0369,4x0369,4X370,前射退时间1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0,25,23,D0370,4x0370,4X371,后射退压力1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0,26,23,D0371,4x0371,4X372,后射退流量1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0,27,23,D0372,4x0372,4X373,后射退位置1,int,2字,0.01,,储料,false,,,0,-1,是,
D0,29,23,D0374,4x0374,4X375,后射退时间1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0,45,23,D0390,4x0390,4X391,功能储料限时,ushort,1字,0.1,s,储料,false,,,0,-1,是,
D0,46,23,D0391,4x0391,4X392,功能先冷却,ushort,1字,1,s,储料,false,,,0,-1,是,
D0,47,23,D0392,4x0392,4X393,功能后冷却,ushort,1字,1,s,储料,false,,,0,-1,是,
D0,48,23,D0393,4x0393,4X394,功能自动清料,ushort,1字,1,,储料,false,,,2,399,是,
D0,49,23,D0394,4x0394,4X395,功能清料次数,ushort,1字,1,次,储料,false,,,2,399,是,
D0,50,23,D0395,4x0395,4X396,功能储料同时冷却,ushort,1字,1,,储料,false,,,0,-1,是,
D0,51,23,D0396,4x0396,4X397,功能开模同时储料,ushort,1字,1,,储料,false,,,0,-1,是,
D0,52,23,D0397,4x0397,4X398,功能_14,ushort,1字,1,,储料,false,,,0,-1,是,
D0,53,23,D0398,4x0398,4X399,储料段数,ushort,1字,1,,储料,false,,,0,-1,是,
D0,54,23,D0399,4x0399,4X400,清料段数,ushort,1字,1,,储料,false,,,2,399,是,
D0,5,26,D0400,4x0400,4X401,座台A进1压力1,ushort,1字,0.1,,座台,false,,,1,498,是,
D0,6,26,D0401,4x0401,4X402,座台A进1流量1,ushort,1字,0.1,,座台,false,,,1,498,是,
D0,7,26,D0402,4x0402,4X403,座台A进1位置1,int,2字,0.01,,座台,false,,,1,498,是,0~300
D0,9,26,D0404,4x0404,4X405,座台A进1时间1,ushort,1字,0.1,,座台,false,,,1,498,是,
D0,10,26,D0405,4x0405,4X406,座台A进2压力1,ushort,1字,0.1,,座台,false,,,2,498,是,
D0,11,26,D0406,4x0406,4X407,座台A进2流量1,ushort,1字,0.1,,座台,false,,,2,498,是,
