原始地址(HMI),Modbus地址(0-based),标签名,类型,字数,比例,单位,HMI显示,只读,控件类型,枚举选项,段索引,段数寄存器,保存历史,范围
D0335,4x0335,储料8压力1,ushort,1字,0.1,,储料,false,,,8,398,是,
D0336,4x0336,储料8流量1,ushort,1字,0.1,,储料,false,,,8,398,是,
D0337,4x0337,储料8位置1,int,2字,0.01,,储料,false,,,8,398,是,D332~300
D0339,4x0339,储料8时间1,ushort,1字,0.1,,储料,false,,,8,398,是,
D0340,4x0340,储料1背压,ushort,1字,1,,储料,false,,,1,398,是,
D0341,4x0341,储料2背压,ushort,1字,1,,储料,false,,,2,398,是,
D0342,4x0342,储料3背压,ushort,1字,1,,储料,false,,,3,398,是,
D0343,4x0343,储料4背压,ushort,1字,1,,储料,false,,,4,398,是,
D0344,4x0344,储料5背压,ushort,1字,1,,储料,false,,,5,398,是,
D0345,4x0345,储料6背压,ushort,1字,1,,储料,false,,,6,398,是,
D0346,4x0346,储料7背压,ushort,1字,1,,储料,false,,,7,398,是,
D0347,4x0347,储料8背压,ushort,1字,1,,储料,false,,,8,398,是,
D0350,4x0350,清料射退压力1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0351,4x0351,清料射退流量1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0352,4x0352,清料射退位置1,int,2字,0.01,,储料,false,,,0,-1,是,
D0354,4x0354,清料射退时间1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0355,4x0355,清料压力1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0356,4x0356,清料流量1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0357,4x0357,清料位置1,int,2字,0.01,,储料,false,,,0,-1,是,
D0359,4x0359,清料时间1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0360,4x0360,清料射出压力1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0361,4x0361,清料射出流量1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0362,4x0362,清料射出位置1,int,2字,0.01,,储料,false,,,0,-1,是,
D0364,4x0364,清料射出时间1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0365,4x0365,前射退压力1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0366,4x0366,前射退流量1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0367,4x0367,前射退位置1,int,2字,0.01,,储料,false,,,0,-1,是,
D0369,4x0369,前射退时间1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0370,4x0370,后射退压力1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0371,4x0371,后射退流量1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0372,4x0372,后射退位置1,int,2字,0.01,,储料,false,,,0,-1,是,
D0374,4x0374,后射退时间1,ushort,1字,0.1,,储料,false,,,0,-1,是,
D0390,4x0390,功能储料限时,ushort,1字,0.1,s,储料,false,,,0,-1,是,
D0391,4x0391,功能先冷却,ushort,1字,1,s,储料,false,,,0,-1,是,
D0392,4x0392,功能后冷却,ushort,1字,1,s,储料,false,,,0,-1,是,
D0393,4x0393,功能自动清料,ushort,1字,1,,储料,false,,,2,399,是,
D0394,4x0394,功能清料次数,ushort,1字,1,次,储料,false,,,2,399,是,
D0395,4x0395,功能储料同时冷却,ushort,1字,1,,储料,false,,,0,-1,是,
D0396,4x0396,功能开模同时储料,ushort,1字,1,,储料,false,,,0,-1,是,
D0397,4x0397,功能_14,ushort,1字,1,,储料,false,,,0,-1,是,
D0398,4x0398,储料段数,ushort,1字,1,,储料,false,,,0,-1,是,
D0399,4x0399,清料段数,ushort,1字,1,,储料,false,,,2,399,是,
D0400,4x0400,座台A进1压力1,ushort,1字,0.1,,座台,false,,,1,498,是,
D0401,4x0401,座台A进1流量1,ushort,1字,0.1,,座台,false,,,1,498,是,
D0402,4x0402,座台A进1位置1,int,2字,0.01,,座台,false,,,1,498,是,0~300
D0404,4x0404,座台A进1时间1,ushort,1字,0.1,,座台,false,,,1,498,是,
D0405,4x0405,座台A进2压力1,ushort,1字,0.1,,座台,false,,,2,498,是,
D0406,4x0406,座台A进2流量1,ushort,1字,0.1,,座台,false,,,2,498,是,
D0407,4x0407,座台A进2位置1,int,2字,0.01,,座台,false,,,2,498,是,0~D402
D0409,4x0409,座台A进2时间1,ushort,1字,0.1,,座台,false,,,2,498,是,
D0410,4x0410,座台B进1压力1,ushort,1字,0.1,,座台,false,,,1,498,是,
D0411,4x0411,座台B进1流量1,ushort,1字,0.1,,座台,false,,,1,498,是,
D0412,4x0412,座台B进1位置1,int,2字,0.01,,座台,false,,,1,498,是,0~300
D0414,4x0414,座台B进1时间1,ushort,1字,0.1,,座台,false,,,1,498,是,
D0415,4x0415,座台B进2压力1,ushort,1字,0.1,,座台,false,,,2,498,是,
D0416,4x0416,座台B进2流量1,ushort,1字,0.1,,座台,false,,,2,498,是,
D0417,4x0417,座台B进2位置1,int,2字,0.01,,座台,false,,,2,498,是,0~D412
D0419,4x0419,座台B进2时间1,ushort,1字,0.1,,座台,false,,,2,498,是,
D0420,4x0420,座台C进1压力1,ushort,1字,0.1,,座台,false,,,1,498,是,
D0421,4x0421,座台C进1流量1,ushort,1字,0.1,,座台,false,,,1,498,是,
D0422,4x0422,座台C进1位置1,int,2字,0.01,,座台,false,,,1,498,是,0~300
D0424,4x0424,座台C进1时间1,ushort,1字,0.1,,座台,false,,,1,498,是,
D0425,4x0425,座台C进2压力1,ushort,1字,0.1,,座台,false,,,2,498,是,
D0426,4x0426,座台C进2流量1,ushort,1字,0.1,,座台,false,,,2,498,是,
D0427,4x0427,座台C进2位置1,int,2字,0.01,,座台,false,,,2,498,是,0~D422
D0429,4x0429,座台C进2时间1,ushort,1字,0.1,,座台,false,,,2,498,是,
